species_pair,ygob_pairs,synergy_pairs,true_positives,false_positives,false_negatives,precision,recall,f1_score
C.albicans - S.cerevisiae,4011,4362,3636,726,375,0.8335625859697386,0.906507105459985,0.8685059118595484
C.glabrata - K.lactis,4494,4413,3972,441,522,0.9000679809653297,0.8838451268357811,0.8918827888177838
C.glabrata - S.cerevisiae,4601,5324,4102,1222,499,0.7704733283245679,0.891545316235601,0.8265994962216624
K.lactis - S.cerevisiae,4565,4709,4037,672,528,0.8572945423656827,0.8843373493975903,0.8706059952555532
C.albicans - C.glabrata,3602,4056,3261,795,341,0.8039940828402367,0.9053303720155469,0.8516583964481587
C.albicans - K.lactis,3605,3996,3253,743,352,0.8140640640640641,0.9023578363384188,0.8559400078936983
