species_pair,ygob_pairs,synergy_pairs,true_positives,false_positives,false_negatives,precision,recall,f1_score
C.albicans - S.cerevisiae,4011,4343,3623,720,388,0.8342159797375086,0.9032660184492646,0.8673689250658368
C.glabrata - K.lactis,4494,1740,1509,231,2985,0.8672413793103448,0.335781041388518,0.48411934552454283
C.glabrata - S.cerevisiae,4601,2191,1549,642,3052,0.7069831127339115,0.3366659421864812,0.4561248527679623
K.lactis - S.cerevisiae,4565,4700,4040,660,525,0.8595744680851064,0.8849945235487404,0.8720992984349704
C.albicans - C.glabrata,3602,1542,1205,337,2397,0.7814526588845655,0.3345363686840644,0.46850699844479005
C.albicans - K.lactis,3605,3988,3249,739,356,0.8146940822467402,0.90124826629681,0.8557882259976294
