cluster_id,C_albicans,C_glabrata,K_lactis,S_cerevisiae,unknown,species_count
Cluster1149,0,0,0,1,0,1
Cluster115,0,0,0,1,0,1
Cluster1150,0,0,0,1,0,1
Cluster1151,0,1,0,1,0,2
Cluster1152,1,0,0,0,0,1
Cluster1153,0,1,1,1,0,3
Cluster1154,1,0,0,0,0,1
Cluster1155,1,0,0,0,0,1
Cluster1156,0,0,1,0,0,1
Cluster1157,0,0,0,1,0,1
Cluster1158,0,0,0,1,0,1
Cluster1159,0,0,0,1,0,1
Cluster116,1,1,1,1,0,4
Cluster1160,1,1,1,1,0,4
Cluster1161,1,0,1,1,0,3
Cluster1162,1,1,1,1,0,4
Cluster1163,1,0,1,1,0,3
Cluster1164,1,1,1,1,0,4
Cluster1165,1,1,1,1,0,4
Cluster1166,1,1,1,1,0,4
Cluster1167,1,0,2,0,0,2
Cluster1168,1,1,1,1,0,4
Cluster1169,1,1,1,1,0,4
Cluster117,1,1,1,1,0,4
Cluster1170,1,1,1,1,0,4
Cluster1171,1,0,0,0,0,1
Cluster1172,1,0,0,0,0,1
Cluster1173,0,1,0,0,0,1
Cluster1174,1,0,0,0,0,1
Cluster1175,0,1,0,1,0,2
Cluster1176,0,1,1,1,0,3
Cluster1177,0,1,0,0,0,1
Cluster1178,1,0,0,0,0,1
Cluster1179,0,0,1,1,0,2
Cluster118,1,1,1,1,0,4
Cluster1180,1,0,0,0,0,1
Cluster1181,1,0,0,0,0,1
Cluster1182,0,1,0,1,0,2
Cluster1183,1,0,0,0,0,1
Cluster1184,1,0,0,0,0,1
Cluster1185,1,1,1,1,0,4
Cluster1186,1,0,0,0,0,1
Cluster1187,1,1,1,1,0,4
Cluster1188,1,1,1,1,0,4
Cluster1189,1,1,1,1,0,4
Cluster119,1,1,1,1,0,4
Cluster1190,1,1,1,1,0,4
Cluster1191,1,1,1,1,0,4
Cluster1192,0,1,0,0,0,1
Cluster1193,0,0,0,1,0,1
Cluster1194,1,1,1,1,0,4
Cluster1195,0,0,0,0,1,1
Cluster1196,0,0,1,0,0,1
Cluster1197,0,0,0,1,0,1
Cluster1198,1,1,0,1,0,3
Cluster1199,0,0,0,1,0,1
Cluster12,1,0,0,0,0,1
Cluster120,1,1,1,1,0,4
Cluster1200,0,0,0,1,0,1
Cluster1201,0,1,0,0,0,1
Cluster1202,0,0,0,1,0,1
Cluster1203,0,1,0,0,0,1
Cluster1204,0,0,1,0,0,1
Cluster1205,1,1,1,1,0,4
Cluster1206,0,0,1,0,0,1
Cluster1207,1,1,1,1,0,4
Cluster1208,1,1,1,1,0,4
Cluster1209,1,1,1,1,0,4
Cluster121,1,1,1,1,0,4
Cluster1210,1,0,0,0,0,1
Cluster1211,0,1,1,1,0,3
Cluster1212,1,1,1,1,0,4
Cluster1213,0,1,0,1,0,2
Cluster1214,1,0,0,0,0,1
Cluster1215,0,1,1,1,0,3
Cluster1216,1,0,0,0,0,1
Cluster1217,0,1,1,1,0,3
Cluster1218,1,0,0,0,0,1
Cluster1219,0,1,1,1,0,3
Cluster122,1,0,0,0,0,1
Cluster1220,1,0,0,0,0,1
Cluster1221,1,0,0,0,0,1
Cluster1222,1,0,0,0,0,1
Cluster1223,1,2,1,1,0,4
Cluster1224,1,1,1,1,0,4
Cluster1225,1,0,0,0,0,1
Cluster1226,0,1,0,0,0,1
Cluster1227,1,0,0,0,0,1
Cluster1228,1,0,0,0,0,1
Cluster1229,1,1,1,2,0,4
